ID	Epoch Day	Weekday	Date	When	Event	Tag
id=illuminati-1705	12055	Sun 1 January 1933	01/01/1933	1933 AD.	Attempted assassination of Franklin Roosevelt; Chicago mayor Cermak killed instead.	#illuminati
id=illuminati-1708	12055	Sun 1 January 1933	01/01/1933	1933 AD.	FDR orders use of Great Seal of the U.S. on reverse side of the dollar bill.	#illuminati
id=illuminati-1711	12055	Sun 1 January 1933	01/01/1933	1933 AD.	Reich-stag Fire, set by Nazis, used to suspend civil liberties.	#illuminati
id=illuminati-1714	12420	Mon 1 January 1934	01/01/1934	1934 AD.	Assassination of S.M. Kirov, Soviet leader and Stalin collaborator.	#illuminati
id=illuminati-1717	12420	Mon 1 January 1934	01/01/1934	1934 AD.	Beginning of Hitler's Black Order.	#illuminati
id=illuminati-1720	12420	Mon 1 January 1934	01/01/1934	1934 AD.	Russian GPU renamed NKVD.	#illuminati
id=illuminati-1723	12420	Mon 1 January 1934	01/01/1934	1934 AD.	Unexplained 'ghostflier' broadcasts in Sweden.	#illuminati
id=illuminati-1726	12785	Tue 1 January 1935	01/01/1935	1935 AD.	Assassination of Senator Huey Long.	#illuminati
id=illuminati-1729	12785	Tue 1 January 1935	01/01/1935	1935 AD.	First lobotomy performed by Egas Moniz in Lisbon.	#illuminati
id=illuminati-1732	13150	Wed 1 January 1936	01/01/1936	1936 AD.	Beginning of Moscow Purge trials in which numerous communist leaders were brainwashed into false confessions and then executed.	#illuminati
id=illuminati-1735	13516	Fri 1 January 1937	01/01/1937	1937 AD.	Amelia Earhart Putnam, aviator, disappears.	#illuminati
id=illuminati-1738	13516	Fri 1 January 1937	01/01/1937	1937 AD.	First of 48 'Lost Colony' stones found in North Carolina; stones supposedly tell the story of lost Roanoke Island colony.	#illuminati
id=illuminati-1741	13516	Fri 1 January 1937	01/01/1937	1937 AD.	Spanish Civil War begins.	#illuminati
id=illuminati-1744	13881	Sat 1 January 1938	01/01/1938	1938 AD.	Assassination of Leon Sedov, Trotsky's son; first assassination attempt against Trotsky.	#illuminati
id=illuminati-1747	13881	Sat 1 January 1938	01/01/1938	1938 AD.	Electroshock treatment discovered.	#illuminati
id=illuminati-1750	13881	Sat 1 January 1938	01/01/1938	1938 AD.	Nazi invasion of Austria; Interpol exiled - or taken over by Nazis; German expedition to Antarctica stakes out 600,000 square kilometres, lands near the South Pole.	#illuminati
id=illuminati-1753	13881	Sat 1 January 1938	01/01/1938	1938 AD.	Orson Welles' dramatization of H.G. Wells' War of the Worlds scares American radio listeners.	#illuminati
id=illuminati-1756	14246	Sun 1 January 1939	01/01/1939	1939 AD.	Amateur radio astronomer Grote Reber receives dot-dash signal from space.	#illuminati
id=illuminati-1759	14246	Sun 1 January 1939	01/01/1939	1939 AD.	Attempted assassination of Hitler.	#illuminati
id=illuminati-1762	14246	Sun 1 January 1939	01/01/1939	1939 AD.	Attorney Leon Cooke, friend of Jack Ruby and financial secretary of the union which employed Ruby, killed by union president Jack Martin; union subsequently taken over by Mafia.	#illuminati
id=illuminati-1765	14246	Sun 1 January 1939	01/01/1939	1939 AD.	CFR offers it services to U.S. State Dept.	#illuminati
id=illuminati-1768	14246	Sun 1 January 1939	01/01/1939	1939 AD.	Germany invades Poland; World War II begins.	#illuminati
id=illuminati-1771	14246	Sun 1 January 1939	01/01/1939	1939 AD.	Interpol grouped with Gestapo.	#illuminati
id=illuminati-1774	14246	Sun 1 January 1939	01/01/1939	1939 AD.	League of Nations suspended.	#illuminati
id=illuminati-1777	14611	Mon 1 January 1940	01/01/1940	1940 AD.	Assassination of Leon Trotsky in Mexico.	#illuminati
id=illuminati-1780	14611	Mon 1 January 1940	01/01/1940	1940 AD.	British secret police renamed MI-5 and MI-6 for duration of war.	#illuminati
id=illuminati-1783	14611	Mon 1 January 1940	01/01/1940	1940 AD.	Interpol moved to near Berlin., with Reinhard Heydrich in charge.	#illuminati
